first_name,last_name
Jordan,Adams
William,Alston
Mychal,Ammons
Kyle,Anderson
Isaiah,Austin
Chane,Behanan
Sim,Bhullar
Khem,Birch
Jabari,Brown
Jahii,Carson
Semaj,Christon
Jordan,Clarkson
DeAndre,Daniels
Spencer,Dinwiddie
Joel,Embiid
Tyler,Ennis
Aaron,Gordon
Jerami,Grant
P.J.,Hairston
Gary,Harris
Rodney,Hood
Nick,Johnson
Alex,Kirk
Zach,LaVine
James,Michael McAdoo
K.J.,McDaniels
Mitch,McGary
Eric,Moreland
Johnny,O'Bryant III
Jabari,Parker
Elfrid,Payton
Julius,Randle
Glenn,Robinson III
LaQuinton,Ross
Antonio,Rucker
Jakarr,Sampson
Marcus,Smart
Roscoe,Smith
Nik,Stauskas
Jarnell,Stokes
Noah,Vonleh
T.J.,Warren
Andrew,Wiggins
James,Young
Ta'Quan,Zimmerman
